id,Instance of,Title,Genre,Duration,Publication date,Netflix ID,Disney+ movie ID,Disney+ series ID,Hulu ID
Q595,movie,The Intouchables,"['Q157443', 'Q645928', 'Q130232', 'Q52162262']",112.0,2011-01-01,70232180,,,
Q2345,movie,12 Angry Men,"['Q130232', 'Q3072039', 'Q121432339']",95.0,1957-04-10,60004251,,,
Q4466,tv_film,Titanic II,"['Q1941707', 'Q846544', 'Q188473']",90.0,2010-01-01,70139488,,,
Q7216,movie,Pirates II: Stagnetti's Revenge,"['Q185529', 'Q2096633']",138.0,2008-09-27,70113743,,,
Q11618,movie,Eraserhead,"['Q130232', 'Q102260466', 'Q2973181', 'Q157394']",89.0,1977-01-01,70034219,,,
Q12018,movie,8½,"['Q859369', 'Q130232', 'Q157394']",138.0,1963-02-14,60021830,,,
Q16401,tv,Monty Python's Flying Circus,Q9335576,,,70213238,,,
Q16403,movie,And Now for Something Completely Different,Q157443,85.0,1971-09-28,255432,,,
Q16453,movie,Bichhoo,"['Q3990883', 'Q188473']",193.0,2000-01-01,60033231,,,
Q18402,movie,La Strada,Q130232,104.0,1954-01-01,60032448,,,
Q18403,movie,Il bidone,"['Q130232', 'Q959790', 'Q21010853']",104.0,1955-01-01,60001588,,,
Q18415,movie,Spirits of the Dead,"['Q200092', 'Q130232', 'Q31888058']",121.0,1968-01-01,9274299,,,
Q18428,movie,Amarcord,"['Q1135802', 'Q2975633', 'Q157443', 'Q130232']",127.0,1973-01-01,247784,,,
Q18754,tv,WWE Raw,"['Q131359', 'Q1190039']",60.0,1993-01-11,,,,3af3ba3a-7cf6-45d0-8f3c-c0ef3ee4ddd6
Q18967,movie,National Lampoon's Van Wilder,"['Q1146335', 'Q2975633', 'Q860626']",93.0,2002-04-05,60022709,,,
Q20456,movie,Dances with Wolves,"['Q130232', 'Q369747', 'Q172980', 'Q319221', 'Q52207399']",181.0,1990-01-01,60028940,,,
Q22432,movie,Signs,"['Q471839', 'Q2447078', 'Q2484376', 'Q2973181', 'Q200092']",102.0,2002-01-01,60023613,,,
Q23673,tv,Once Upon a Time,"['Q1366112', 'Q98526245', 'Q699', 'Q101761418']",42.0,,70197049,,14p4BXYA2xok,
Q23831,tv,The Office,"['Q459435', 'Q21188110', 'Q7079172']",22.0,,70136120,,,
Q24075,movie,Godzilla,"['Q471839', 'Q1342372', 'Q2484376', 'Q200092', 'Q188473']",139.0,1998-05-18,11819467,,,
Q24871,movie,Avatar,"['Q471839', 'Q188473', 'Q319221', 'Q904447', 'Q25110269', 'Q652256']",162.0,2009-12-16,,2YOnkRN4LwZZ,,
Q24980,movie,Monty Python's The Meaning of Life,"['Q842256', 'Q157443']",112.0,1983-01-01,60029676,,,
Q26970,movie,Joy Ride,"['Q2484376', 'Q1200678', 'Q200092', 'Q188473']",97.0,2001-01-01,60020822,,,
Q29011,anime,Howl's Moving Castle,"['Q157394', 'Q15637301', 'Q319221', 'Q471839', 'Q52207399', 'Q130232', 'Q4774498']",119.0,2004-09-05,70028883,,,
Q29313,movie,The Watch,"['Q761469', 'Q157443', 'Q471839', 'Q188473']",102.0,2012-07-27,,6hFGSaQh3E6o,,
Q31198,movie,Tell Me a Riddle,Q130232,90.0,1980-01-01,70083469,,,
Q32241,movie,Incident at Loch Ness,Q459435,94.0,2004-01-01,70018704,,,
Q33109,movie,Be Like Others,"['Q93204', 'Q20442589']",74.0,2008-01-01,70084161,,,
Q39975,movie,Dazed and Confused,"['Q157443', 'Q1146335', 'Q2975633', 'Q130232']",98.0,1993-01-01,70003553,,,
Q41403,tv,Teletubbies,Q1273568,25.0,,70224479,,,
Q41483,movie,"The Good, the Bad and the Ugly","['Q212781', 'Q22981906', 'Q369747', 'Q130232', 'Q172980', 'Q188473']",178.0,1966-01-01,553500,,,
Q43228,movie,"Goodbye, Mr. Chips","['Q130232', 'Q21401869', 'Q52162262']",110.0,1939-01-01,60011704,,,
Q44085,movie,Private School,"['Q860626', 'Q1146335', 'Q20442589']",85.0,1983-01-01,70014510,,,
Q44447,movie,Michael Jackson's This Is It,"['Q93204', 'Q842256', 'Q645928']",111.0,2009-01-01,70123913,,,
Q45304,movie,Madigan,"['Q959790', 'Q52207399', 'Q188473', 'Q130232']",101.0,1968-01-01,726218,,,
Q45384,movie,Carrie,"['Q200092', 'Q1146335', 'Q52207399', 'Q130232', 'Q853630']",100.0,2013-10-07,70251537,,,
Q45871,tv,Secret Garden,"['Q1366112', 'Q85133165']",60.0,,70215459,,,
Q47296,movie,Family Plot,"['Q959790', 'Q1200678', 'Q16950433', 'Q157443', 'Q2484376', 'Q52207399']",120.0,1976-01-01,60020560,,,
Q49019,tv,Blackadder,"['Q9335576', 'Q112254601']",30.0,,,,,cf505cab-731b-4a57-9f8a-c9a685381709
Q50714,movie,Stagecoach,"['Q172980', 'Q130232', 'Q188473']",97.0,1939-02-15,70135561,y59AL0Aac6EZ,,
Q51732,movie,Love Is Not Blind,Q118612349,110.0,2011-11-08,81027768,,,
Q51757,movie,The Banquet,Q130232,131.0,2006-01-01,70086564,,,
Q53353,anime,Puella Magi Madoka Magica,"['Q15637299', 'Q12767035', 'Q752321', 'Q2975633', 'Q253732', 'Q104623091', 'Q104623124']",,,70302572,,,085f5007-1b32-4dd7-9aea-41397554fb9b
Q58439,movie,Teenage Mutant Ninja Turtles,"['Q188473', 'Q157443', 'Q471839', 'Q157394', 'Q3745429']",93.0,1990-03-30,1029730,,,
Q59249,movie,Hachi: A Dog's Tale,"['Q130232', 'Q1361932']",93.0,2009-06-08,70118677,,,
Q59722,movie,Secret Things,"['Q130232', 'Q20442589']",117.0,2002-01-01,60033281,,,
Q60096,tv,The Amazing Race,"['Q846662', 'Q111812458']",43.0,,,,,555f6cd8-bfd0-43cd-9144-6ec61140ba44
Q60364,tv_film,Wes Craven's Chiller,Q200092,104.0,1985-01-01,60025640,,,
Q60794,movie,Gorgeous,"['Q860626', 'Q1033891', 'Q188473', 'Q157443']",121.0,1999-01-01,60001529,,,
Q61696,movie,Midnight Cowboy,"['Q663106', 'Q130232', 'Q20442589', 'Q52207399']",108.0,1969-01-01,759322,,,
Q62163,movie,She Done Him Wrong,"['Q860626', 'Q130232']",68.0,1933-01-01,60010882,,,
Q73028,movie,Underclassman,"['Q859369', 'Q2678111', 'Q188473', 'Q959790']",90.0,2005-01-01,70018719,,,
Q73622,tv,Futurama,"['Q336059', 'Q170238', 'Q761469', 'Q9335576']",22.0,,70153380,,4B9X20Pjihaf,85bf4cc1-cd8b-4469-ad87-7289217a0b74
Q75682,anime,Naruto Shippuden the Movie: The Lost Tower,"['Q188473', 'Q319221', 'Q157394']",85.0,2010-07-31,70275937,,,
Q80204,movie,Anna Karenina,"['Q130232', 'Q860626', 'Q52207399']",130.0,2012-09-07,70243443,,,
Q80227,movie,Repentance,Q130232,153.0,1984-01-01,60033359,,,
Q81224,movie,Inside Man,"['Q959790', 'Q496523', 'Q130232', 'Q2484376']",129.0,2006-03-20,70044379,,,
Q84064,movie,Bread and Tulips,Q860626,114.0,2000-01-01,60020983,,,
Q94428,tv,Kung Fu Panda: Legends of Awesomeness,Q9335576,23.0,,,,,7acfc9e1-a6cf-4cdd-91dd-7e184f16ac3b
Q104814,movie,Aliens,"['Q188473', 'Q471839', 'Q319221', 'Q2484376', 'Q200092', 'Q10663882', 'Q130232']",137.0,1986-01-01,60029358,224lP4LHXbRb,,
Q108543,movie,Alien 3,"['Q200092', 'Q471839', 'Q319221', 'Q586250', 'Q10663882']",114.0,1992-05-22,60029355,6vdNV13cJue5,,
Q108946,movie,A Few Good Men,"['Q959790', 'Q130232', 'Q643873', 'Q3072039', 'Q2484376']",138.0,1992-01-01,499243,,,
Q110354,movie,The Great Escape,"['Q369747', 'Q130232', 'Q586250', 'Q52207310']",165.0,1963-01-01,558381,,,
Q111655,movie,"20,000 Leagues Under the Sea","['Q319221', 'Q226730', 'Q52207399', 'Q471839']",105.0,1916-01-01,207730,,,
Q113428,movie,The Profession of Arms,"['Q130232', 'Q17013749', 'Q319221', 'Q369747']",100.0,2001-01-01,70041029,,,
Q114076,movie,A Knight's Tale,"['Q188473', 'Q157443', 'Q1054574', 'Q10654943', 'Q319221']",132.0,2001-03-08,60020626,,,
Q115776,movie,The Mad,"['Q224700', 'Q3072049']",80.0,2007-01-01,70066184,,,
